VendorName,Brand,Category,PurchasePrice,ActualPrice,QuantitySold,QuantityOnHand,TotalSales,TotalPurchaseCost,GrossProfit,PurchaseDate,Month,MonthName,Quarter,Year,ProfitMargin,MarkupRatio
Global Mart,Brand G,Furniture,322.6,569.99,54,343,30779.46,17420.4,13359.06,2023-06-29,6,Jun,2,2023,43.4,1.767
Junction LLC,Brand J,Food & Beverage,418.49,852.74,14,148,11938.36,5858.86,6079.5,2023-09-07,9,Sep,3,2023,50.92,2.038
Junction LLC,Brand J,Clothing,254.72,423.68,36,70,15252.48,9169.92,6082.56,2023-11-18,11,Nov,4,2023,39.88,1.663
FairWay Corp.,Brand F,Sporting Goods,272.16,412.92,105,120,43356.6,28576.8,14779.8,2023-12-04,12,Dec,4,2023,34.09,1.517
Eagle Exports,Brand E,Health & Beauty,80.75,159.54,82,252,13082.28,6621.5,6460.78,2023-10-30,10,Oct,4,2023,49.39,1.976
Delta Traders,Brand D,Health & Beauty,394.15,519.02,67,92,34774.34,26408.05,8366.29,2023-02-20,2,Feb,1,2023,24.06,1.317
Blue Ridge Co.,Brand B,Office Supplies,215.5,349.58,10,255,3495.8,2155.0,1340.8,2023-03-29,3,Mar,1,2023,38.35,1.622
Delta Traders,Brand D,Furniture,255.04,355.18,49,253,17403.82,12496.96,4906.86,2023-01-21,1,Jan,1,2023,28.19,1.393
Junction LLC,Brand J,Clothing,394.7,818.65,111,351,90870.15,43811.7,47058.45,2023-10-30,10,Oct,4,2023,51.79,2.074
Junction LLC,Brand J,Food & Beverage,303.43,734.87,65,287,47766.55,19722.95,28043.6,2023-12-21,12,Dec,4,2023,58.71,2.422
Cardinal Goods,Brand C,Clothing,108.54,270.67,57,308,15428.19,6186.78,9241.41,2023-03-20,3,Mar,1,2023,59.9,2.494
Junction LLC,Brand J,Office Supplies,299.21,517.75,27,58,13979.25,8078.67,5900.58,2023-04-09,4,Apr,2,2023,42.21,1.73
Apex Supplies,Brand A,Electronics,209.74,304.87,113,68,34450.31,23700.62,10749.69,2023-07-27,7,Jul,3,2023,31.2,1.454
Heritage Inc.,Brand H,Clothing,240.07,412.91,133,445,54917.03,31929.31,22987.72,2023-07-22,7,Jul,3,2023,41.86,1.72
Eagle Exports,Brand E,Office Supplies,23.87,54.57,71,387,3874.47,1694.77,2179.7,2023-08-13,8,Aug,3,2023,56.26,2.286
Delta Traders,Brand D,Electronics,112.91,156.77,83,85,13011.91,9371.53,3640.38,2023-10-14,10,Oct,4,2023,27.98,1.388
Heritage Inc.,Brand H,Electronics,147.71,359.37,57,273,20484.09,8419.47,12064.62,2023-10-22,10,Oct,4,2023,58.9,2.433
Global Mart,Brand G,Food & Beverage,359.35,567.27,120,226,68072.4,43122.0,24950.4,2023-10-12,10,Oct,4,2023,36.65,1.579
Blue Ridge Co.,Brand B,Sporting Goods,15.63,38.76,93,80,3604.68,1453.59,2151.09,2023-11-16,11,Nov,4,2023,59.67,2.48
Apex Supplies,Brand A,Furniture,210.3,478.23,15,497,7173.45,3154.5,4018.95,2023-03-07,3,Mar,1,2023,56.03,2.274
Delta Traders,Brand D,Clothing,462.77,1032.9,111,113,114651.9,51367.47,63284.43,2023-10-02,10,Oct,4,2023,55.2,2.232
Heritage Inc.,Brand H,Electronics,64.82,100.15,101,183,10115.15,6546.82,3568.33,2023-03-09,3,Mar,1,2023,35.28,1.545
Blue Ridge Co.,Brand B,Clothing,263.05,292.59,119,279,34818.21,31302.95,3515.26,2023-08-14,8,Aug,3,2023,10.1,1.112
Cardinal Goods,Brand C,Sporting Goods,395.4,646.47,76,321,49131.72,30050.4,19081.32,2023-11-16,11,Nov,4,2023,38.84,1.635
Apex Supplies,Brand A,Furniture,471.84,718.39,158,396,113505.62,74550.72,38954.9,2023-07-09,7,Jul,3,2023,34.32,1.523
Apex Supplies,Brand A,Sporting Goods,375.92,433.19,20,317,8663.8,7518.4,1145.4,2023-06-23,6,Jun,2,2023,13.22,1.152
Cardinal Goods,Brand C,Furniture,363.08,656.27,165,53,108284.55,59908.2,48376.35,2023-02-16,2,Feb,1,2023,44.68,1.808
Eagle Exports,Brand E,Health & Beauty,414.98,690.63,131,398,90472.53,54362.38,36110.15,2023-05-22,5,May,2,2023,39.91,1.664
Cardinal Goods,Brand C,Furniture,228.64,454.62,73,196,33187.26,16690.72,16496.54,2023-09-28,9,Sep,3,2023,49.71,1.988
Apex Supplies,Brand A,Food & Beverage,404.86,797.44,122,386,97287.68,49392.92,47894.76,2023-01-22,1,Jan,1,2023,49.23,1.97
Apex Supplies,Brand A,Sporting Goods,13.9,17.64,41,292,723.24,569.9,153.34,2023-06-27,6,Jun,2,2023,21.2,1.269
Heritage Inc.,Brand H,Electronics,463.03,1142.64,167,292,190820.88,77326.01,113494.87,2023-06-16,6,Jun,2,2023,59.48,2.468
Junction LLC,Brand J,Health & Beauty,227.22,309.41,154,484,47649.14,34991.88,12657.26,2023-07-29,7,Jul,3,2023,26.56,1.362
Blue Ridge Co.,Brand B,Food & Beverage,281.16,484.55,130,386,62991.5,36550.8,26440.7,2023-05-12,5,May,2,2023,41.98,1.723
Cardinal Goods,Brand C,Clothing,134.89,240.56,23,446,5532.88,3102.47,2430.41,2023-04-06,4,Apr,2,2023,43.93,1.783
Blue Ridge Co.,Brand B,Sporting Goods,373.84,836.76,23,290,19245.48,8598.32,10647.16,2023-11-08,11,Nov,4,2023,55.32,2.238
Cardinal Goods,Brand C,Office Supplies,47.55,58.91,144,179,8483.04,6847.2,1635.84,2023-10-31,10,Oct,4,2023,19.28,1.239
Global Mart,Brand G,Office Supplies,437.59,743.95,9,470,6695.55,3938.31,2757.24,2023-02-28,2,Feb,1,2023,41.18,1.7
Apex Supplies,Brand A,Electronics,415.78,823.2,13,379,10701.6,5405.14,5296.46,2023-09-02,9,Sep,3,2023,49.49,1.98
Junction LLC,Brand J,Furniture,115.87,162.36,156,411,25328.16,18075.72,7252.44,2023-10-06,10,Oct,4,2023,28.63,1.401
Heritage Inc.,Brand H,Electronics,406.57,804.38,155,221,124678.9,63018.35,61660.55,2023-10-10,10,Oct,4,2023,49.46,1.978
Junction LLC,Brand J,Office Supplies,395.32,946.05,51,273,48248.55,20161.32,28087.23,2023-07-15,7,Jul,3,2023,58.21,2.393
Junction LLC,Brand J,Clothing,319.79,798.36,64,377,51095.04,20466.56,30628.48,2023-12-21,12,Dec,4,2023,59.94,2.497
Junction LLC,Brand J,Health & Beauty,193.02,221.09,52,243,11496.68,10037.04,1459.64,2023-10-20,10,Oct,4,2023,12.7,1.145
Blue Ridge Co.,Brand B,Health & Beauty,143.03,204.51,38,419,7771.38,5435.14,2336.24,2023-01-13,1,Jan,1,2023,30.06,1.43
Cardinal Goods,Brand C,Sporting Goods,123.57,189.61,100,416,18961.0,12357.0,6604.0,2023-03-13,3,Mar,1,2023,34.83,1.534
Icon Wholesale,Brand I,Health & Beauty,166.12,275.56,193,447,53183.08,32061.16,21121.92,2023-03-11,3,Mar,1,2023,39.72,1.659
Global Mart,Brand G,Sporting Goods,452.74,651.57,146,153,95129.22,66100.04,29029.18,2023-01-03,1,Jan,1,2023,30.52,1.439
Delta Traders,Brand D,Sporting Goods,48.04,66.53,191,303,12707.23,9175.64,3531.59,2023-09-24,9,Sep,3,2023,27.79,1.385
Junction LLC,Brand J,Sporting Goods,416.15,1013.9,51,423,51708.9,21223.65,30485.25,2023-06-03,6,Jun,2,2023,58.96,2.436
Eagle Exports,Brand E,Office Supplies,180.96,431.76,137,272,59151.12,24791.52,34359.6,2023-06-08,6,Jun,2,2023,58.09,2.386
Blue Ridge Co.,Brand B,Office Supplies,265.58,309.61,141,423,43655.01,37446.78,6208.23,2023-04-14,4,Apr,2,2023,14.22,1.166
Heritage Inc.,Brand H,Furniture,399.3,628.63,168,134,105609.84,67082.4,38527.44,2023-10-26,10,Oct,4,2023,36.48,1.574
Delta Traders,Brand D,Food & Beverage,443.34,739.14,55,312,40652.7,24383.7,16269.0,2023-01-24,1,Jan,1,2023,40.02,1.667
Icon Wholesale,Brand I,Sporting Goods,178.94,256.71,109,7,27981.39,19504.46,8476.93,2023-10-16,10,Oct,4,2023,30.29,1.435
Eagle Exports,Brand E,Sporting Goods,236.3,467.97,171,127,80022.87,40407.3,39615.57,2023-08-20,8,Aug,3,2023,49.51,1.98
Icon Wholesale,Brand I,Food & Beverage,213.11,425.48,44,372,18721.12,9376.84,9344.28,2023-02-19,2,Feb,1,2023,49.91,1.997
Delta Traders,Brand D,Electronics,16.49,37.77,110,55,4154.7,1813.9,2340.8,2023-10-27,10,Oct,4,2023,56.34,2.29
Junction LLC,Brand J,Sporting Goods,155.01,331.29,196,125,64932.84,30381.96,34550.88,2023-12-22,12,Dec,4,2023,53.21,2.137
Eagle Exports,Brand E,Furniture,235.0,437.01,161,158,70358.61,37835.0,32523.61,2023-12-05,12,Dec,4,2023,46.23,1.86
Icon Wholesale,Brand I,Health & Beauty,211.44,426.06,152,58,64761.12,32138.88,32622.24,2023-12-07,12,Dec,4,2023,50.37,2.015
Heritage Inc.,Brand H,Health & Beauty,363.75,539.65,164,57,88502.6,59655.0,28847.6,2023-09-07,9,Sep,3,2023,32.6,1.484
Cardinal Goods,Brand C,Clothing,198.55,383.26,128,139,49057.28,25414.4,23642.88,2023-03-29,3,Mar,1,2023,48.19,1.93
Apex Supplies,Brand A,Clothing,249.79,445.85,105,175,46814.25,26227.95,20586.3,2023-04-10,4,Apr,2,2023,43.97,1.785
Cardinal Goods,Brand C,Health & Beauty,220.51,283.73,10,414,2837.3,2205.1,632.2,2023-03-06,3,Mar,1,2023,22.28,1.287
Delta Traders,Brand D,Health & Beauty,372.91,536.83,100,107,53683.0,37291.0,16392.0,2023-11-20,11,Nov,4,2023,30.53,1.44
Blue Ridge Co.,Brand B,Office Supplies,432.86,652.91,148,210,96630.68,64063.28,32567.4,2023-09-02,9,Sep,3,2023,33.7,1.508
Apex Supplies,Brand A,Furniture,270.63,647.9,109,446,70621.1,29498.67,41122.43,2023-10-29,10,Oct,4,2023,58.23,2.394
Global Mart,Brand G,Food & Beverage,396.82,564.49,108,73,60964.92,42856.56,18108.36,2023-07-15,7,Jul,3,2023,29.7,1.423
Heritage Inc.,Brand H,Clothing,155.43,233.91,140,166,32747.4,21760.2,10987.2,2023-07-08,7,Jul,3,2023,33.55,1.505
Global Mart,Brand G,Office Supplies,275.27,445.14,190,459,84576.6,52301.3,32275.3,2023-02-12,2,Feb,1,2023,38.16,1.617
Eagle Exports,Brand E,Office Supplies,179.16,363.56,146,403,53079.76,26157.36,26922.4,2023-01-07,1,Jan,1,2023,50.72,2.029
Apex Supplies,Brand A,Food & Beverage,212.96,269.51,94,356,25333.94,20018.24,5315.7,2023-03-17,3,Mar,1,2023,20.98,1.266
Global Mart,Brand G,Office Supplies,368.88,898.42,63,303,56600.46,23239.44,33361.02,2023-09-28,9,Sep,3,2023,58.94,2.436
Global Mart,Brand G,Furniture,442.01,1021.84,84,232,85834.56,37128.84,48705.72,2023-07-07,7,Jul,3,2023,56.74,2.312
Icon Wholesale,Brand I,Health & Beauty,69.53,132.67,25,326,3316.75,1738.25,1578.5,2023-01-08,1,Jan,1,2023,47.59,1.908
Cardinal Goods,Brand C,Sporting Goods,320.97,655.95,12,371,7871.4,3851.64,4019.76,2023-04-14,4,Apr,2,2023,51.07,2.044
Icon Wholesale,Brand I,Food & Beverage,295.25,331.66,149,181,49417.34,43992.25,5425.09,2023-10-15,10,Oct,4,2023,10.98,1.123
Apex Supplies,Brand A,Health & Beauty,68.02,107.1,25,121,2677.5,1700.5,977.0,2023-08-21,8,Aug,3,2023,36.49,1.575
Apex Supplies,Brand A,Health & Beauty,113.83,252.01,11,333,2772.11,1252.13,1519.98,2023-05-15,5,May,2,2023,54.83,2.214
Delta Traders,Brand D,Electronics,162.39,196.24,64,202,12559.36,10392.96,2166.4,2023-01-21,1,Jan,1,2023,17.25,1.208
Icon Wholesale,Brand I,Food & Beverage,91.8,137.26,126,454,17294.76,11566.8,5727.96,2023-11-19,11,Nov,4,2023,33.12,1.495
FairWay Corp.,Brand F,Office Supplies,129.43,248.43,50,28,12421.5,6471.5,5950.0,2023-03-14,3,Mar,1,2023,47.9,1.919
Cardinal Goods,Brand C,Sporting Goods,141.12,205.89,190,201,39119.1,26812.8,12306.3,2023-08-06,8,Aug,3,2023,31.46,1.459
Apex Supplies,Brand A,Food & Beverage,174.48,420.07,89,92,37386.23,15528.72,21857.51,2023-08-21,8,Aug,3,2023,58.46,2.408
Delta Traders,Brand D,Office Supplies,377.2,484.13,99,328,47928.87,37342.8,10586.07,2023-03-26,3,Mar,1,2023,22.09,1.283
Icon Wholesale,Brand I,Health & Beauty,290.24,643.27,116,355,74619.32,33667.84,40951.48,2023-12-22,12,Dec,4,2023,54.88,2.216
Cardinal Goods,Brand C,Sporting Goods,493.26,893.36,96,175,85762.56,47352.96,38409.6,2023-08-25,8,Aug,3,2023,44.79,1.811
Icon Wholesale,Brand I,Office Supplies,213.22,458.52,177,329,81158.04,37739.94,43418.1,2023-09-28,9,Sep,3,2023,53.5,2.15
Global Mart,Brand G,Furniture,379.39,582.36,14,210,8153.04,5311.46,2841.58,2023-06-04,6,Jun,2,2023,34.85,1.535
Delta Traders,Brand D,Office Supplies,437.02,795.5,1,183,795.5,437.02,358.48,2023-04-02,4,Apr,2,2023,45.06,1.82
Cardinal Goods,Brand C,Electronics,342.7,788.06,25,94,19701.5,8567.5,11134.0,2023-03-22,3,Mar,1,2023,56.51,2.3
Junction LLC,Brand J,Health & Beauty,211.81,371.44,187,272,69459.28,39608.47,29850.81,2023-01-13,1,Jan,1,2023,42.98,1.754
Eagle Exports,Brand E,Office Supplies,379.26,608.18,72,136,43788.96,27306.72,16482.24,2023-10-06,10,Oct,4,2023,37.64,1.604
Eagle Exports,Brand E,Clothing,109.8,203.2,69,236,14020.8,7576.2,6444.6,2023-03-01,3,Mar,1,2023,45.96,1.851
Cardinal Goods,Brand C,Clothing,170.5,358.78,133,352,47717.74,22676.5,25041.24,2023-11-18,11,Nov,4,2023,52.48,2.104
Icon Wholesale,Brand I,Electronics,277.88,478.23,105,417,50214.15,29177.4,21036.75,2023-01-13,1,Jan,1,2023,41.89,1.721
Delta Traders,Brand D,Furniture,291.95,704.89,147,428,103618.83,42916.65,60702.18,2023-02-25,2,Feb,1,2023,58.58,2.414
Eagle Exports,Brand E,Health & Beauty,20.85,31.54,23,471,725.42,479.55,245.87,2023-06-26,6,Jun,2,2023,33.89,1.513
Delta Traders,Brand D,Food & Beverage,473.11,835.35,9,264,7518.15,4257.99,3260.16,2023-03-29,3,Mar,1,2023,43.36,1.766
Eagle Exports,Brand E,Electronics,351.35,758.81,118,134,89539.58,41459.3,48080.28,2023-06-18,6,Jun,2,2023,53.7,2.16
Global Mart,Brand G,Furniture,252.89,522.16,94,143,49083.04,23771.66,25311.38,2023-10-14,10,Oct,4,2023,51.57,2.065
Icon Wholesale,Brand I,Food & Beverage,467.23,1078.88,178,18,192040.64,83166.94,108873.7,2023-09-20,9,Sep,3,2023,56.69,2.309
Global Mart,Brand G,Clothing,225.16,561.89,144,230,80912.16,32423.04,48489.12,2023-08-04,8,Aug,3,2023,59.93,2.496
Eagle Exports,Brand E,Clothing,490.41,832.52,33,133,27473.16,16183.53,11289.63,2023-01-27,1,Jan,1,2023,41.09,1.698
Junction LLC,Brand J,Food & Beverage,261.02,327.74,130,113,42606.2,33932.6,8673.6,2023-07-11,7,Jul,3,2023,20.36,1.256
Junction LLC,Brand J,Electronics,66.0,75.41,14,498,1055.74,924.0,131.74,2023-06-29,6,Jun,2,2023,12.48,1.143
Global Mart,Brand G,Clothing,384.75,814.76,1,138,814.76,384.75,430.01,2023-04-17,4,Apr,2,2023,52.78,2.118
Junction LLC,Brand J,Health & Beauty,342.66,796.21,90,124,71658.9,30839.4,40819.5,2023-02-14,2,Feb,1,2023,56.96,2.324
Eagle Exports,Brand E,Sporting Goods,388.76,547.76,186,203,101883.36,72309.36,29574.0,2023-07-24,7,Jul,3,2023,29.03,1.409
Cardinal Goods,Brand C,Office Supplies,476.21,629.47,89,60,56022.83,42382.69,13640.14,2023-05-08,5,May,2,2023,24.35,1.322
Global Mart,Brand G,Food & Beverage,390.48,463.53,144,249,66748.32,56229.12,10519.2,2023-01-18,1,Jan,1,2023,15.76,1.187
Blue Ridge Co.,Brand B,Food & Beverage,309.55,697.04,90,297,62733.6,27859.5,34874.1,2023-09-14,9,Sep,3,2023,55.59,2.252
Icon Wholesale,Brand I,Clothing,430.08,660.57,175,12,115599.75,75264.0,40335.75,2023-02-21,2,Feb,1,2023,34.89,1.536
Junction LLC,Brand J,Electronics,339.89,565.02,172,395,97183.44,58461.08,38722.36,2023-02-28,2,Feb,1,2023,39.84,1.662
Junction LLC,Brand J,Health & Beauty,209.98,378.77,14,254,5302.78,2939.72,2363.06,2023-09-16,9,Sep,3,2023,44.56,1.804
Apex Supplies,Brand A,Electronics,443.95,1010.09,152,84,153533.68,67480.4,86053.28,2023-08-25,8,Aug,3,2023,56.05,2.275
FairWay Corp.,Brand F,Furniture,118.73,238.79,111,457,26505.69,13179.03,13326.66,2023-04-07,4,Apr,2,2023,50.28,2.011
Global Mart,Brand G,Furniture,360.17,706.33,183,19,129258.39,65911.11,63347.28,2023-02-17,2,Feb,1,2023,49.01,1.961
Heritage Inc.,Brand H,Sporting Goods,441.97,594.87,143,49,85066.41,63201.71,21864.7,2023-10-26,10,Oct,4,2023,25.7,1.346
Junction LLC,Brand J,Clothing,368.35,669.83,83,163,55595.89,30573.05,25022.84,2023-04-16,4,Apr,2,2023,45.01,1.818
Icon Wholesale,Brand I,Clothing,351.66,739.03,72,91,53210.16,25319.52,27890.64,2023-10-30,10,Oct,4,2023,52.42,2.102
Blue Ridge Co.,Brand B,Clothing,378.79,932.8,162,87,151113.6,61363.98,89749.62,2023-08-28,8,Aug,3,2023,59.39,2.463
Junction LLC,Brand J,Sporting Goods,237.88,328.74,130,68,42736.2,30924.4,11811.8,2023-02-23,2,Feb,1,2023,27.64,1.382
Blue Ridge Co.,Brand B,Furniture,438.34,488.03,27,36,13176.81,11835.18,1341.63,2023-10-24,10,Oct,4,2023,10.18,1.113
Eagle Exports,Brand E,Electronics,109.68,132.21,74,252,9783.54,8116.32,1667.22,2023-03-13,3,Mar,1,2023,17.04,1.205
Eagle Exports,Brand E,Sporting Goods,72.42,117.77,99,251,11659.23,7169.58,4489.65,2023-04-04,4,Apr,2,2023,38.51,1.626
FairWay Corp.,Brand F,Sporting Goods,149.9,337.09,72,139,24270.48,10792.8,13477.68,2023-06-17,6,Jun,2,2023,55.53,2.249
Cardinal Goods,Brand C,Electronics,270.47,300.22,23,354,6905.06,6220.81,684.25,2023-05-28,5,May,2,2023,9.91,1.11
Heritage Inc.,Brand H,Clothing,260.18,452.56,68,380,30774.08,17692.24,13081.84,2023-08-08,8,Aug,3,2023,42.51,1.739
Apex Supplies,Brand A,Health & Beauty,412.09,643.24,142,167,91340.08,58516.78,32823.3,2023-06-17,6,Jun,2,2023,35.94,1.561
FairWay Corp.,Brand F,Electronics,208.24,244.36,191,53,46672.76,39773.84,6898.92,2023-05-07,5,May,2,2023,14.78,1.173
Delta Traders,Brand D,Furniture,247.33,427.96,117,385,50071.32,28937.61,21133.71,2023-02-12,2,Feb,1,2023,42.21,1.73
Apex Supplies,Brand A,Food & Beverage,16.55,24.11,106,177,2555.66,1754.3,801.36,2023-06-23,6,Jun,2,2023,31.36,1.457
Global Mart,Brand G,Food & Beverage,210.77,335.68,93,296,31218.24,19601.61,11616.63,2023-12-04,12,Dec,4,2023,37.21,1.593
Icon Wholesale,Brand I,Office Supplies,327.41,683.59,65,300,44433.35,21281.65,23151.7,2023-09-05,9,Sep,3,2023,52.1,2.088
Delta Traders,Brand D,Office Supplies,17.6,32.21,68,358,2190.28,1196.8,993.48,2023-07-07,7,Jul,3,2023,45.36,1.83
Delta Traders,Brand D,Sporting Goods,147.63,188.16,128,105,24084.48,18896.64,5187.84,2023-09-24,9,Sep,3,2023,21.54,1.275
FairWay Corp.,Brand F,Food & Beverage,111.9,273.71,63,136,17243.73,7049.7,10194.03,2023-12-24,12,Dec,4,2023,59.12,2.446
Cardinal Goods,Brand C,Health & Beauty,30.57,60.84,113,189,6874.92,3454.41,3420.51,2023-04-08,4,Apr,2,2023,49.75,1.99
FairWay Corp.,Brand F,Clothing,244.84,531.85,90,127,47866.5,22035.6,25830.9,2023-05-30,5,May,2,2023,53.96,2.172
Global Mart,Brand G,Furniture,99.04,119.93,81,341,9714.33,8022.24,1692.09,2023-11-03,11,Nov,4,2023,17.42,1.211
Junction LLC,Brand J,Office Supplies,374.11,436.17,103,46,44925.51,38533.33,6392.18,2023-07-22,7,Jul,3,2023,14.23,1.166
Junction LLC,Brand J,Health & Beauty,425.48,479.61,192,4,92085.12,81692.16,10392.96,2023-12-08,12,Dec,4,2023,11.29,1.127
Cardinal Goods,Brand C,Furniture,277.34,378.38,160,459,60540.8,44374.4,16166.4,2023-02-19,2,Feb,1,2023,26.7,1.364
Global Mart,Brand G,Furniture,491.04,825.03,116,256,95703.48,56960.64,38742.84,2023-12-05,12,Dec,4,2023,40.48,1.68
Cardinal Goods,Brand C,Clothing,230.73,556.1,13,299,7229.3,2999.49,4229.81,2023-07-07,7,Jul,3,2023,58.51,2.41
Blue Ridge Co.,Brand B,Sporting Goods,261.55,455.07,194,149,88283.58,50740.7,37542.88,2023-10-22,10,Oct,4,2023,42.53,1.74
Junction LLC,Brand J,Food & Beverage,494.72,745.23,124,293,92408.52,61345.28,31063.24,2023-12-16,12,Dec,4,2023,33.62,1.506
Delta Traders,Brand D,Clothing,123.46,232.93,147,242,34240.71,18148.62,16092.09,2023-08-15,8,Aug,3,2023,47.0,1.887
Heritage Inc.,Brand H,Health & Beauty,471.85,592.98,152,274,90132.96,71721.2,18411.76,2023-07-27,7,Jul,3,2023,20.43,1.257
Icon Wholesale,Brand I,Sporting Goods,30.99,60.53,88,207,5326.64,2727.12,2599.52,2023-04-18,4,Apr,2,2023,48.8,1.953
Global Mart,Brand G,Health & Beauty,228.73,433.63,11,414,4769.93,2516.03,2253.9,2023-06-27,6,Jun,2,2023,47.25,1.896
Apex Supplies,Brand A,Sporting Goods,44.3,97.85,187,114,18297.95,8284.1,10013.85,2023-10-20,10,Oct,4,2023,54.73,2.209
Cardinal Goods,Brand C,Office Supplies,367.33,911.48,15,194,13672.2,5509.95,8162.25,2023-01-21,1,Jan,1,2023,59.7,2.481
Icon Wholesale,Brand I,Health & Beauty,308.12,447.15,10,342,4471.5,3081.2,1390.3,2023-02-17,2,Feb,1,2023,31.09,1.451
Apex Supplies,Brand A,Clothing,356.25,646.07,41,169,26488.87,14606.25,11882.62,2023-08-30,8,Aug,3,2023,44.86,1.814
Icon Wholesale,Brand I,Sporting Goods,193.5,459.06,155,378,71154.3,29992.5,41161.8,2023-11-02,11,Nov,4,2023,57.85,2.372
Heritage Inc.,Brand H,Sporting Goods,191.05,420.17,188,81,78991.96,35917.4,43074.56,2023-09-21,9,Sep,3,2023,54.53,2.199
Apex Supplies,Brand A,Furniture,32.21,57.41,73,153,4190.93,2351.33,1839.6,2023-02-07,2,Feb,1,2023,43.89,1.782
FairWay Corp.,Brand F,Furniture,181.47,439.8,52,140,22869.6,9436.44,13433.16,2023-10-27,10,Oct,4,2023,58.74,2.424
Eagle Exports,Brand E,Electronics,465.35,549.17,128,313,70293.76,59564.8,10728.96,2023-02-24,2,Feb,1,2023,15.26,1.18
FairWay Corp.,Brand F,Health & Beauty,195.82,470.63,28,145,13177.64,5482.96,7694.68,2023-01-21,1,Jan,1,2023,58.39,2.403
Junction LLC,Brand J,Furniture,417.37,488.62,65,322,31760.3,27129.05,4631.25,2023-09-20,9,Sep,3,2023,14.58,1.171
Eagle Exports,Brand E,Electronics,422.74,788.93,17,121,13411.81,7186.58,6225.23,2023-10-15,10,Oct,4,2023,46.42,1.866
FairWay Corp.,Brand F,Office Supplies,192.89,452.64,95,251,43000.8,18324.55,24676.25,2023-12-09,12,Dec,4,2023,57.39,2.347
Eagle Exports,Brand E,Office Supplies,319.67,469.21,172,342,80704.12,54983.24,25720.88,2023-08-27,8,Aug,3,2023,31.87,1.468
Eagle Exports,Brand E,Furniture,56.73,99.91,138,386,13787.58,7828.74,5958.84,2023-10-30,10,Oct,4,2023,43.22,1.761
Delta Traders,Brand D,Health & Beauty,60.8,94.49,63,310,5952.87,3830.4,2122.47,2023-02-03,2,Feb,1,2023,35.65,1.554
Cardinal Goods,Brand C,Sporting Goods,33.84,82.33,175,88,14407.75,5922.0,8485.75,2023-11-18,11,Nov,4,2023,58.9,2.433
Cardinal Goods,Brand C,Food & Beverage,294.7,663.99,38,474,25231.62,11198.6,14033.02,2023-06-13,6,Jun,2,2023,55.62,2.253
Delta Traders,Brand D,Health & Beauty,218.77,457.8,70,57,32046.0,15313.9,16732.1,2023-02-10,2,Feb,1,2023,52.21,2.093
Icon Wholesale,Brand I,Clothing,278.54,535.54,104,491,55696.16,28968.16,26728.0,2023-12-10,12,Dec,4,2023,47.99,1.923
Blue Ridge Co.,Brand B,Office Supplies,265.33,596.68,53,62,31624.04,14062.49,17561.55,2023-09-25,9,Sep,3,2023,55.53,2.249
Icon Wholesale,Brand I,Furniture,181.6,299.49,172,346,51512.28,31235.2,20277.08,2023-07-27,7,Jul,3,2023,39.36,1.649
Apex Supplies,Brand A,Furniture,341.96,590.42,119,307,70259.98,40693.24,29566.74,2023-07-19,7,Jul,3,2023,42.08,1.727
Apex Supplies,Brand A,Sporting Goods,381.67,809.9,74,486,59932.6,28243.58,31689.02,2023-06-13,6,Jun,2,2023,52.87,2.122
Eagle Exports,Brand E,Clothing,17.17,27.49,54,472,1484.46,927.18,557.28,2023-07-19,7,Jul,3,2023,37.54,1.601
FairWay Corp.,Brand F,Sporting Goods,111.55,132.68,20,381,2653.6,2231.0,422.6,2023-04-24,4,Apr,2,2023,15.93,1.189
FairWay Corp.,Brand F,Clothing,359.49,432.85,79,279,34195.15,28399.71,5795.44,2023-03-19,3,Mar,1,2023,16.95,1.204
Cardinal Goods,Brand C,Food & Beverage,199.44,251.6,31,71,7799.6,6182.64,1616.96,2023-04-28,4,Apr,2,2023,20.73,1.262
Global Mart,Brand G,Office Supplies,334.62,775.5,135,8,104692.5,45173.7,59518.8,2023-04-14,4,Apr,2,2023,56.85,2.318
Icon Wholesale,Brand I,Furniture,180.01,317.02,58,365,18387.16,10440.58,7946.58,2023-03-22,3,Mar,1,2023,43.22,1.761
Junction LLC,Brand J,Furniture,201.47,422.69,105,420,44382.45,21154.35,23228.1,2023-04-20,4,Apr,2,2023,52.34,2.098
Heritage Inc.,Brand H,Food & Beverage,87.75,144.79,10,93,1447.9,877.5,570.4,2023-07-31,7,Jul,3,2023,39.39,1.65
FairWay Corp.,Brand F,Electronics,136.53,199.63,10,372,1996.3,1365.3,631.0,2023-04-02,4,Apr,2,2023,31.61,1.462
Heritage Inc.,Brand H,Office Supplies,306.65,486.37,39,338,18968.43,11959.35,7009.08,2023-01-24,1,Jan,1,2023,36.95,1.586
Eagle Exports,Brand E,Sporting Goods,222.25,491.58,156,436,76686.48,34671.0,42015.48,2023-02-09,2,Feb,1,2023,54.79,2.212
Heritage Inc.,Brand H,Food & Beverage,389.41,769.2,158,335,121533.6,61526.78,60006.82,2023-05-06,5,May,2,2023,49.37,1.975
Junction LLC,Brand J,Sporting Goods,427.77,1032.08,37,151,38186.96,15827.49,22359.47,2023-01-31,1,Jan,1,2023,58.55,2.413
Delta Traders,Brand D,Health & Beauty,275.41,565.03,119,491,67238.57,32773.79,34464.78,2023-09-30,9,Sep,3,2023,51.26,2.052
